mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
darktowr       machine=darktowr         RGB565
darkwar        machine=cvs              RGB565
darwin         machine=darwin           RGB565
dazzler        machine=cvs              RGB565
dblaxle        machine=dblaxle          RGB565
dbldyn         machine=dynduke          RGB565
dblplay        machine=leland           RGB565
dbreed         machine=dbreed           RGB565
dcclub         machine=system24         RGB565
dcon           machine=dcon             RGB565
dday           machine=dday             RGB565
ddayc          machine=dday             RGB565
ddcrew         machine=shdancer         RGB565
ddenlovr       machine=ddenlovr         RGB565
ddonpach       machine=ddonpach         RGB565
ddonpchj       machine=ddonpach         RGB565
ddragn2u       machine=ddragon2         RGB565
ddrago3b       machine=ddrago3b         RGB565
ddragon        machine=ddragon          RGB565
ddragon2       machine=ddragon2         RGB565
ddragon3       machine=ddragon3         RGB565
ddragonb       machine=ddragonb         RGB565
ddragonu       machine=ddragon          RGB565
ddragonw       machine=ddragon          RGB565
ddribble       machine=ddribble         RGB565
ddungeon       machine=darktowr         RGB565
dduxbl         machine=dduxbl           RGB565
deadang        machine=deadang          RGB565
deadconj       machine=deadconj         RGB565
deadconx       machine=deadconx         RGB565
deadeye        machine=meadows          RGB565
dealer         machine=dealer           RGB565
decocass       machine=decocass         RGB565
defndjeu       machine=defender         RGB565
demoderb       machine=demoderb         RGB565
demoderm       machine=mono_tcs         RGB565
demoneye       machine=demoneye         RGB565
demonwl1       machine=demonwld         RGB565
demonwld       machine=demonwld         RGB565
depthch        machine=depthch          RGB565
depthv1        machine=depthch          RGB565
deroon         machine=deroon           RGB565
desertgu       machine=desertgu         RGB565
desterth       machine=invadpt2         RGB565
destroyr       machine=destroyr         RGB565
detatwin       machine=detatwin         RGB565
devilfsg       machine=devilfsg         RGB565
devilfsh       machine=devilfsh         RGB565
devilw         machine=heavysync        RGB565
devstor2       machine=devstors         RGB565
devstor3       machine=devstors         RGB565
devstors       machine=devstors         RGB565
devzone        machine=devzone          RGB565
devzone2       machine=devzone          RGB565
dfeveron       machine=dfeveron         RGB565
dharma         machine=dharma           RGB565
diamond        machine=gng              RGB565
digdug         machine=digdug           RGB565
digdug2        machine=digdug2          RGB565
digdug2o       machine=digdug2          RGB565
digduga1       machine=digdug           RGB565
digdugat       machine=digdug           RGB565
digdugb        machine=digdug           RGB565
digger         machine=3ports           RGB565
dingo          machine=checkmaj         RGB565
dinorex        machine=dinorex          RGB565
dinorexj       machine=dinorex          RGB565
dinorexu       machine=dinorex          RGB565
disco          machine=disco            RGB565
discof         machine=disco            RGB565
diverboy       machine=diverboy         RGB565
djboy          machine=djboy            RGB565
dkgenm72       machine=dkgenm72         RGB565
dkgensan       machine=hharryu          RGB565
dkngjnrb       machine=dkongjr          RGB565
dkngjnrj       machine=dkongjr          RGB565
dkong          machine=dkong            RGB565
dkong3         machine=dkong3           RGB565
dkong3b        machine=dkongjr          RGB565
dkong3j        machine=dkong3           RGB565
dkongjo        machine=dkong            RGB565
dkongjo1       machine=dkong            RGB565
dkongjp        machine=dkong            RGB565
dkongjr        machine=dkongjr          RGB565
dkongjrb       machine=dkongjr          RGB565
dkongjrj       machine=dkongjr          RGB565
dkongjrm       machine=dkongjrm         RGB565
dkongo         machine=dkong            RGB565
dlair          machine=dlair            RGB565
dleague        machine=dleague          RGB565
doapp          machine=zn               RGB565
docastl2       machine=docastle         RGB565
docastle       machine=docastle         RGB565
docastlo       machine=docastle         RGB565
dockman        machine=intrepid         RGB565
dodgem         machine=tinvader         RGB565
dogfgt         machine=dogfgt           RGB565
dogfgtj        machine=dogfgt           RGB565
dogfight       machine=zodiack          RGB565
dogosoke       machine=victroad         RGB565
dogpatch       machine=clowns           RGB565
dogyuun        machine=dogyuun          RGB565
dokaben        machine=pang             RGB565
dokyusei       machine=dokyusei         RGB565
dokyusp        machine=dokyusp          RGB565
domino         machine=mcr2             RGB565
dominos        machine=dominos          RGB565
dommy          machine=dommy            RGB565
dondenmj       machine=dondenmj         RGB565
dondokdj       machine=dondokod         RGB565
dondokdu       machine=dondokod         RGB565
dondokod       machine=dondokod         RGB565
donpachi       machine=donpachi         RGB565
donpachj       machine=donpachi         RGB565
donpachk       machine=donpachi         RGB565
dorachan       machine=dorachan         RGB565
dorodon        machine=ladybug          RGB565
dorodon2       machine=ladybug          RGB565
dorunru2       machine=dorunrun         RGB565
dorunruc       machine=docastle         RGB565
dorunrun       machine=dorunrun         RGB565
dotriku2       machine=dotrikun         RGB565
dotrikun       machine=dotrikun         RGB565
dotron         machine=dotron           RGB565
dotrona        machine=dotron           RGB565
dotrone        machine=dotron           RGB565
doubledr       machine=neogeo           RGB565
douni          machine=docastle         RGB565
dowild         machine=dorunrun         RGB565
downtown       machine=downtown         RGB565
dplay          machine=m4               RGB565
dragrace       machine=dragrace         RGB565
dragwld2       machine=pgm              RGB565
drakton        machine=dkong            RGB565
dremshpr       machine=dremshpr         RGB565
drgnbstr       machine=skykid           RGB565
drgnmst        machine=drgnmst          RGB565
drgnunit       machine=drgnunit         RGB565
drgpunch       machine=sprtmtch         RGB565
dribling       machine=dribling         RGB565
driblino       machine=dribling         RGB565
driftout       machine=driftout         RGB565
drius2do       machine=darius2d         RGB565
drivedge       machine=drivedge         RGB565
driveout       machine=driveout         RGB565
drivfrcg       machine=drivfrcg         RGB565
drivfrcp       machine=drivfrcp         RGB565
drmario        machine=vsnes            RGB565
drmicro        machine=drmicro          RGB565
drtoppel       machine=drtoppel         RGB565
drtopplj       machine=drtoppel         RGB565
drtopplu       machine=drtoppel         RGB565
dsccr94j       machine=psoldier         RGB565
dsoccr94       machine=dsoccr94         RGB565
duckhunt       machine=vsnes            RGB565
dumpmtmt       machine=bodyslam         RGB565
dunkmnia       machine=coh110_danceyes  RGB565
dunkshot       machine=s16dummy         RGB565
dyger          machine=turtship         RGB565
dygera         machine=turtship         RGB565
dynablsb       machine=bootleg          RGB565
dynablst       machine=bombrman         RGB565
dynamski       machine=dynamski         RGB565
dynduke        machine=dynduke          RGB565
dynobop        machine=slikshot         RGB565
dzigzag        machine=digdug           RGB565
eagle          machine=mooncrst         RGB565
eagle2         machine=mooncrst         RGB565
earthinv       machine=invaders         RGB565
earthjkr       machine=galmedes         RGB565
ebases         machine=ebases           RGB565
edf            machine=system_B         RGB565
eggor          machine=pacman           RGB565
eggs           machine=scregg           RGB565
eggventr       machine=eggventr         RGB565
eggvntdx       machine=eggventr         RGB565
ehrgeiz        machine=coh700           RGB565
eightfrc       machine=eightfrc         RGB565
eightman       machine=neogeo           RGB565
einnings       machine=m4               RGB565
elecyoy2       machine=mcu              RGB565
elecyoyo       machine=mcu              RGB565
elevatob       machine=nomcu            RGB565
elevator       machine=mcu              RGB565
embargo        machine=embargo          RGB565
emeralda       machine=namcona1w        RGB565
emerldaa       machine=namcona1w        RGB565
empcity        machine=stfight          RGB565
empcityj       machine=stfight          RGB565
endurob2       machine=endurob2         RGB565
endurobl       machine=enduror          RGB565
enduror        machine=enduror          RGB565
enforce        machine=enforce          RGB565
enigma2        machine=enigma2          RGB565
enigma2a       machine=enigma2a         RGB565
equites        machine=equites          RGB565
equitess       machine=equites          RGB565
esckids        machine=esckids          RGB565
espial         machine=espial           RGB565
espiale        machine=espial           RGB565
esprade        machine=esprade          RGB565
espradej       machine=esprade          RGB565
espradeo       machine=esprade          RGB565
eswat          machine=eswat            RGB565
eswatbl        machine=eswat            RGB565
eto            machine=eto              RGB565
euroch92       machine=footchmp         RGB565
evilston       machine=evilston         RGB565
excitbkj       machine=vsnes            RGB565
excitebk       machine=vsnes            RGB565
excthour       machine=matmania         RGB565
exctleag       machine=s16dummy         RGB565
exctscc2       machine=exctsccr         RGB565
exctscca       machine=exctsccr         RGB565
exctsccb       machine=exctsccb         RGB565
exctsccr       machine=exctsccr         RGB565
exedexes       machine=exedexes         RGB565
exerion        machine=exerion          RGB565
exerionb       machine=exerion          RGB565
exeriont       machine=exerion          RGB565
exerizrb       machine=skyfox           RGB565
exodus         machine=galaxian         RGB565
explorer       machine=explorer         RGB565
exprraid       machine=exprraid         RGB565
extdwnhl       machine=extdwnhl         RGB565
exterm         machine=exterm           RGB565
extrmatn       machine=arknoid2         RGB565
exvania        machine=namcona1         RGB565
exzisus        machine=exzisus          RGB565
eyes           machine=pacman           RGB565
eyes2          machine=pacman           RGB565
f1dream        machine=tigeroad         RGB565
f1dreamb       machine=tigeroad         RGB565
f1gp           machine=f1gp             RGB565
f1gp2          machine=f1gp2            RGB565
f1gpstar       machine=f1gpstar         RGB565
f1gpstr2       machine=f1gpstr2         RGB565
fa             machine=namcona1         RGB565
falcon         machine=phoenix          RGB565
fantasia       machine=comad            RGB565
fantasy        machine=fantasy          RGB565
fantasyj       machine=fantasy          RGB565
fantazia       machine=mooncrst         RGB565
