mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
ridleofp       machine=segae            
ringdest       machine=cps2             
ringfgt        machine=vsgongf          
ringfgt2       machine=vsgongf          
ringkin2       machine=ringking         
ringkin3       machine=kingofb          
ringking       machine=ringking         
ringohja       machine=mainevt          
ringrage       machine=f3_224a          
ringragj       machine=f3_224a          
ringragu       machine=f3_224a          
ripcord        machine=ripcord          
rjammer        machine=rjammer          
rmhaihai       machine=rmhaihai         
rmhaihib       machine=rmhaihai         
rmhaijin       machine=rmhaihai         
rmhaisei       machine=rmhaisei         
roadriot       machine=atarig42         
robby          machine=robby            
roboarmy       machine=neogeo           
robokid        machine=robokid          
robokidj       machine=robokid          
robotbwl       machine=robotbwl         
rockn          machine=rockn            
rocnrope       machine=rocnrope         
rocnropk       machine=rocnrope         
roldfrga       machine=roldfrog         
roldfrog       machine=roldfrog         
rollace        machine=rollrace         
rollace2       machine=rollace2         
rollingc       machine=rollingc         
rougien        machine=mermaid          
roundup        machine=thepit           
route16        machine=route16          
route16a       machine=route16          
route16b       machine=route16          
routex         machine=routex           
royalmah       machine=royalmah         
rranger        machine=rranger          
rrreveng       machine=atarigx2         
rrrevenp       machine=atarigx2         
runark         machine=growl            
runaway        machine=runaway          
rundeep        machine=thedeep          
rungun2        machine=gxtype4          
rushatck       machine=gberet           
rushcrsh       machine=srumbler         
rushhero       machine=gxtype4          
rvschool       machine=znqsound         
ryorioh        machine=ryorioh          
ryouran        machine=skns             
ryujin         machine=ryujin           
ryukendn       machine=shadoww          
s1945          machine=s1945            
s1945ii        machine=psikyo3v1        
s1945iii       machine=psikyo5          
s1945j         machine=s1945            
s1945jn        machine=gunbird          
s1945p         machine=neogeo           
sabotenb       machine=bjtwin           
safari         machine=safari           
saiyugb2       machine=saiyugb2         
salmndr2       machine=konamigx_6bpp_2  
samsho         machine=neogeo           
samsho2        machine=neogeo           
samsho3        machine=neogeo           
samsho4        machine=neogeo           
samurai        machine=4ports           
samuraia       machine=sngkace          
sandscrp       machine=sandscrp         
sarge          machine=mono_tcs         
sarukani       machine=skns             
sasuke         machine=sasuke           
saturn         machine=blueprnt         
savagere       machine=neogeo           
savgbees       machine=exedexes         
sbagman        machine=bagman           
sbagmans       machine=bagman           
sbdk           machine=hunchbkd         
sbm            machine=sbm              
sbomberb       machine=psikyo3v1        
sbowling       machine=sbowling         
sbrkout        machine=sbrkout          
sbugger        machine=sbugger          
scessjoe       machine=ashnojoe         
scfinals       machine=f3_224a          
schasrcv       machine=lupin3           
sci            machine=sci              
scia           machine=sci              
scion          machine=scion            
scionc         machine=scion            
sciu           machine=sci              
scobra         machine=type1            
scobrab        machine=type1            
scobras        machine=type1            
scobrase       machine=type1            
scramble       machine=scramble         
scrambls       machine=scramble         
scregg         machine=scregg           
screwloo       machine=gottlieb2        
scross         machine=scross           
sctionza       machine=lwings           
scudhamm       machine=scudhamm         
sdgndmps       machine=sdgndmps         
sdgndmrb       machine=sdgndmrb         
sdodgeb        machine=neogeo           
sdtennis       machine=bnj              
sdungeon       machine=mcu              
seawolf2       machine=seawolf2         
secolove       machine=mbmj_h12bit      
sectionz       machine=lwings           
sectrzon       machine=no_nvram         
seganinj       machine=system1          
seganinu       machine=system1          
seicross       machine=no_nvram         
seiha          machine=seiha            
seiham         machine=seiha            
selfeena       machine=selfeena         
sengekij       machine=skns             
sengekis       machine=skns             
sengokh        machine=neogeo           
sengokmj       machine=sengokmj         
sengoku        machine=neogeo           
sengoku2       machine=neogeo           
senknow        machine=skns             
sentetst       machine=balsente         
sexyparo       machine=konamigx         
sfa            machine=cps2             
sfa2           machine=cps2             
sfa3           machine=cps2             
sfa3r1         machine=cps2             
sfar1          machine=cps2             
sfar2          machine=cps2             
sfau           machine=cps2             
sfchamp        machine=fx1a             
sfeverbw       machine=sheriff          
sfex           machine=znqsound         
